transaction,announced,closed,type,role,target,buyer,seller,rounds,round_type,valuation_pre,valuation_post,ammount,raised,corporation
IQTR651111290,2020-01-15,2020-01-15,Merger/Acquisition,Buyer,"XNOR.AI, Inc.",Apple Inc. (NasdaqGS:AAPL),"AutoTech Ventures; NGP Capital; Madrona Venture Group, LLC; Plug and Play, LLC; Catapult Ventures Group",0,,0,0,0,0,Apple
IQTR647865299,2019-12-12,2019-12-12,Merger/Acquisition,Buyer,Spectral Edge Ltd,Apple Inc. (NasdaqGS:AAPL),IQ Capital Partners LLP; Martlet; Origin Capital Ltd; Parkwalk Advisors Ltd; Wren Capital LLP,0,,0,0,0,0,Apple
IQTR639430236,2019-10-04,2019-10-04,Merger/Acquisition,Buyer,IKinema Ltd.,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR630916104,2019-07-25,2019-12-02,Merger/Acquisition,Buyer,Smartphone Modem Business of Intel Corporation,Apple Inc. (NasdaqGS:AAPL),Intel Corporation (NasdaqGS:INTC),0,,0,0,1000000,0,Apple
IQTR625921898,2019-06-25,2019-06-25,Merger/Acquisition,Buyer,"Drive.ai, Inc.",Apple Inc. (NasdaqGS:AAPL),"HOF Capital; GGV Capital; GPU Ventures; New Enterprise Associates, Inc.; Northern Light Venture Capital",0,,0,0,0,0,Apple
IQTR612707663,2019-05-07,2018-11-30,Merger/Acquisition,Buyer,Silk Labs Inc.,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR602555217,2019-02-15,2018-12-31,Merger/Acquisition,Buyer,Operatedata Ltd.,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR594391282,2018-12-07,2018-12-07,Merger/Acquisition,Buyer,Platoon Limited,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR587466412,2018-10-11,2019-04-08,Merger/Acquisition,Buyer,Certain Assets of Dialog Semiconductor Plc,Apple Inc. (NasdaqGS:AAPL),Dialog Semiconductor Plc (XTRA:DLG),0,,0,0,300000,0,Apple
IQTR579360358,2018-08-30,,Merger/Acquisition,Buyer,Akonia Holographics LLC,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR561415029,2018-05-01,,Buyback,Target,Apple Inc. (NasdaqGS:AAPL),,,0,,0,0,175000000,0,Apple
IQTR555809081,2018-03-12,2018-03-31,Merger/Acquisition,Buyer,Next Issue Media LLC,Apple Inc. (NasdaqGS:AAPL),KKR & Co. L.P. (nka:KKR & Co. Inc. (NYSE:KKR)); Rogers Media Inc.; Meredith Corporation (NYSE:MDP); Rogers Ventures Partners; Time Inc. (nka:TI Gotham Inc.); Conde Nast Entertainment LLC; The Hearst Corporation,0,,0,0,0,0,Apple
IQTR548302734,2018-01-02,2018-01-02,Merger/Acquisition,Buyer,Doe Pics Hit Holdings ULC,Apple Inc. (NasdaqGS:AAPL),"Amplify Partners, LLC; Bloomberg Beta L.P.; First Round Capital; Kleiner Perkins Caufield & Byers",0,,0,0,0,0,Apple
IQTR546333558,2017-12-11,2018-09-24,Merger/Acquisition,Buyer,Shazam Entertainment Limited,Apple Inc. (NasdaqGS:AAPL),"Acacia Capital Partners; América Móvil, S.A.B. de C.V. (BMV:AMX L); Band of Angels; Buran Venture Capital (nka:Flashpoint Venture Capital); DN Capital (UK) LLP; Institutional Venture Partners; Kleiner Perkins Caufield & Byers; RVC (OJSC), Investment Arm; Arts Alliance; Azini Capital Partners LLP",0,,0,0,400000,0,Apple
IQTR652856084,2017-12-05,2017-12-05,Merger/Acquisition,Buyer,"Pop Up Archive, Inc.",Apple Inc. (NasdaqGS:AAPL),500 Startups; FundersClub Inc.,0,,0,0,0,0,Apple
IQTR543250748,2017-11-09,2017-11-09,Merger/Acquisition,Buyer,"InVisage Technologies, Inc.",Apple Inc. (NasdaqGS:AAPL),"InterWest Partners LLC; China Oceanwide USA Holdings Co. Ltd.; Horizon Technology Finance Management, LLC; RockPort Capital Partners; Intel Capital; GGV Capital",0,,0,0,0,0,Apple
IQTR541460840,2017-10-25,2017-10-25,Merger/Acquisition,Buyer,PowerbyProxi Limited,Apple Inc. (NasdaqGS:AAPL),Movac Limited; TE Connectivity Ltd. (NYSE:TEL); Samsung Venture Investment Corporation,0,,0,0,68710,0,Apple
IQTR539707831,2017-09-29,2017-03-31,Merger/Acquisition,Buyer,"Regaind, SAS",Apple Inc. (NasdaqGS:AAPL),Side Capital,0,,0,0,0,0,Apple
IQTR538600319,2017-09-22,2017-11-02,Merger/Acquisition,Seller,Imagination Technologies Group plc,"Canyon Bridge Capital Partners, Inc. Buyer Funds: Canyon Bridge Fund I, LP","Apple Inc. (NasdaqGS:AAPL); Intel Capital; M&G Investment Management Limited; Standard Life Investments Limited; Tsinghua Unigroup International Co., Ltd; Majedie Asset Management Limited",0,,0,0,812670,0,Apple
IQTR528545236,2017-06-26,2017-06-26,Merger/Acquisition,Buyer,SensoMotoric Instruments GmbH,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR431722117,2017-05-13,2017-05-13,Merger/Acquisition,Buyer,"Lattice Data, Inc.",Apple Inc. (NasdaqGS:AAPL),"GV; In-Q-Tel, Inc.; Madrona Venture Group, LLC",0,,0,0,200000,0,Apple
IQTR430348997,2017-05-08,2017-05-08,Merger/Acquisition,Buyer,Beddit.com Oy,Apple Inc. (NasdaqGS:AAPL),Veraventure Ltd; Inventure Oy; Open Ocean Capital Ltd. Seller Funds: Inventure Fund II; Seed Fund Vera Ltd,0,,0,0,0,0,Apple
IQTR424396562,2017-03-22,2017-03-22,Merger/Acquisition,Buyer,"DeskConnect, Inc.",Apple Inc. (NasdaqGS:AAPL),General Catalyst Partners; Lowercase Capital Seller Funds: Rough Draft Ventures,0,,0,0,0,0,Apple
IQTR422722383,2017-02-22,2017-02-20,Merger/Acquisition,Buyer,RealFace,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR414962552,2016-12-07,2017-09-27,Merger/Acquisition,Buyer,30% Stake in Four Energy Companies,Apple Inc. (NasdaqGS:AAPL),"Beijing Tianrun New Energy Investment Co., Ltd.",0,,0,0,26880,0,Apple
IQTR412764657,2016-12-01,2015-12-31,Merger/Acquisition,Buyer,Indoor.io,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR402529364,2016-09-22,,Merger/Acquisition,Buyer,Tuplejump Software Private Limited,Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR407749445,2016-08-22,2016-03-31,Merger/Acquisition,Buyer,"Gliimpse, Inc.",Apple Inc. (NasdaqGS:AAPL),,0,,0,0,0,0,Apple
IQTR379373372,2016-08-05,2016-08-05,Merger/Acquisition,Buyer,Turi Inc.,Apple Inc. (NasdaqGS:AAPL),"Madrona Venture Group, LLC; Opus Capital; Vulcan Capital; New Enterprise Associates, Inc.",0,,0,0,200000,0,Apple
IQTR338093577,2016-05-12,2016-06-13,Private Placement,Buyer,"Didi Chuxing Technology Co., Ltd.","Alibaba Group Holding Limited (NYSE:BABA); SoftBank Group Corp. (TSE:9984); Ant Financial Services Group; China Life Investment Holding Company Limited; Apple Inc. (NasdaqGS:AAPL); Bank of Communications Co., Ltd. (SEHK:3328); China Minsheng Investment Group; Tencent Holdings Ltd., Investment Arm; China Poly Group Corporation Limited; Poly Real Estate Group Co.,Ltd (nka:Poly Developments and Holdings Group Co., Ltd. (SHSE:600048))",,10,Venture,0,0,4800000,8955000,Apple
