"Historical Capitalization",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balance Sheet as of:",Jan-31-1981,Jan-31-1982,Jan-31-1983,Jan-31-1984,Jan-31-1985,Jan-31-1986,Jan-31-1987,Jan-31-1988,Jan-31-1989,Jan-31-1990,Jan-31-1991,Jan-31-1992,Jan-31-1993,Jan-31-1994,Jan-31-1995,Apr-30-1995,Jul-31-1995,Oct-31-1995,Jan-31-1996,Apr-30-1996,Jul-31-1996,Oct-31-1996,Jan-31-1997,Apr-30-1997,Jul-31-1997,Oct-31-1997,Jan-31-1998,Apr-30-1998,Jul-31-1998,Oct-31-1998,Jan-31-1999,Apr-30-1999,Jul-31-1999,Oct-31-1999,Jan-31-2000,Apr-30-2000,Jul-31-2000,Oct-31-2000,Jan-31-2001,Apr-30-2001,Jul-31-2001,Oct-31-2001,Jan-31-2002,Apr-30-2002,Jul-31-2002,Oct-31-2002,Jan-31-2003,Apr-30-2003,Jul-31-2003,Oct-31-2003,Jan-31-2004,Apr-30-2004,Jul-31-2004,Oct-31-2004,Jan-31-2005,Apr-30-2005,Jul-31-2005,Oct-31-2005,Jan-31-2006,Apr-30-2006,Jul-31-2006,Oct-31-2006,Jan-31-2007,Apr-30-2007,Jul-31-2007,Oct-31-2007,Jan-31-2008,Apr-30-2008,Jul-31-2008,Oct-31-2008,Jan-31-2009,Apr-30-2009,Jul-31-2009,Oct-31-2009,Jan-31-2010,Apr-30-2010,Jul-31-2010,Oct-31-2010,Jan-31-2011,Apr-30-2011,Jul-31-2011,Oct-31-2011,Jan-31-2012,Apr-30-2012,Jul-31-2012,Oct-31-2012,Jan-31-2013,Apr-30-2013,Jul-31-2013,Oct-31-2013,Jan-31-2014,Apr-30-2014,Jul-31-2014,Oct-31-2014,Jan-31-2015,Apr-30-2015,Jul-31-2015,Oct-31-2015,Jan-31-2016,Apr-30-2016,Jul-31-2016,Oct-31-2016,Jan-31-2017,Apr-30-2017,Jul-31-2017,Oct-31-2017,Jan-31-2018,Apr-30-2018,Jul-31-2018,Oct-31-2018,Jan-31-2019,Apr-30-2019,Jul-31-2019,Oct-31-2019
"Pricing as of*",Apr-03-1981,Apr-05-1982,Apr-04-1983,Mar-26-1984,Mar-25-1985,Mar-24-1986,Mar-23-1987,Mar-25-1988,Mar-27-1989,Apr-02-1990,Apr-01-1991,Mar-31-1992,Apr-01-1993,Apr-04-1994,Apr-27-1995,Jun-09-1995,Sep-11-1995,Dec-05-1995,Apr-23-1996,Jun-12-1996,Sep-10-1996,Dec-12-1996,Apr-21-1997,Jun-10-1997,Sep-09-1997,Dec-10-1997,Apr-23-1998,Jun-15-1998,Sep-14-1998,Dec-14-1998,Apr-19-1999,Jun-07-1999,Sep-10-1999,Dec-15-1999,Apr-17-2000,Jun-08-2000,Aug-25-2000,Nov-30-2000,Apr-17-2001,Jun-05-2001,Sep-04-2001,Nov-29-2001,Apr-15-2002,Jun-10-2002,Sep-11-2002,Dec-06-2002,Apr-15-2003,Jun-09-2003,Sep-10-2003,Dec-11-2003,Apr-12-2004,Jun-04-2004,Sep-03-2004,Dec-03-2004,Mar-31-2005,Jun-03-2005,Aug-31-2005,Dec-02-2005,Mar-29-2006,Jun-02-2006,Aug-30-2006,Nov-30-2006,Mar-27-2007,Jun-01-2007,Sep-10-2007,Nov-29-2007,Mar-31-2008,Jun-09-2008,Sep-04-2008,Dec-09-2008,Apr-01-2009,Jun-05-2009,Sep-09-2009,Dec-08-2009,Mar-30-2010,Jun-04-2010,Sep-01-2010,Dec-06-2010,Mar-30-2011,Jun-03-2011,Sep-01-2011,Dec-08-2011,Mar-27-2012,Jun-01-2012,Sep-06-2012,Dec-04-2012,Mar-26-2013,Jun-07-2013,Sep-05-2013,Dec-06-2013,Mar-21-2014,Jun-06-2014,Sep-05-2014,Dec-01-2014,Apr-01-2015,Jun-05-2015,Sep-09-2015,Dec-02-2015,Mar-30-2016,Jun-03-2016,Aug-31-2016,Dec-01-2016,Mar-31-2017,Jun-02-2017,Aug-31-2017,Dec-01-2017,Apr-02-2018,Jun-04-2018,Sep-06-2018,Nov-30-2018,Mar-28-2019,Jun-07-2019,Sep-06-2019,Dec-04-2019
"Currency","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Capitalization Detail",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Share Price"," $0.29 "," $0.36 "," $0.9 "," $0.98 "," $1.38 "," $2.46 "," $3.72 "," $3.55 "," $4.11 "," $5.89 "," $9.69 "," $13.31 "," $15.56 "," $12.69 "," $11.94 "," $12.5 "," $12.56 "," $12.13 "," $11.44 "," $13.0 "," $13.31 "," $11.94 "," $13.88 "," $15.69 "," $19.31 "," $20.13 "," $25.69 "," $28.28 "," $30.59 "," $37.41 "," $44.88 "," $45.75 "," $47.69 "," $66.25 "," $54.0 "," $56.88 "," $50.31 "," $52.19 "," $49.24 "," $51.3 "," $48.45 "," $54.65 "," $59.93 "," $56.4 "," $54.2 "," $53.04 "," $55.29 "," $53.79 "," $56.85 "," $52.81 "," $57.34 "," $56.59 "," $53.25 "," $52.93 "," $50.11 "," $47.35 "," $44.96 "," $47.97 "," $48.05 "," $47.83 "," $44.62 "," $46.1 "," $47.49 "," $49.47 "," $42.27 "," $47.54 "," $52.68 "," $59.57 "," $59.78 "," $55.81 "," $52.82 "," $51.07 "," $51.11 "," $54.41 "," $55.91 "," $50.4 "," $51.2 "," $54.49 "," $52.36 "," $53.66 "," $52.65 "," $57.98 "," $61.09 "," $65.55 "," $74.81 "," $72.12 "," $74.77 "," $76.33 "," $72.67 "," $79.94 "," $76.1 "," $77.21 "," $77.51 "," $86.22 "," $80.71 "," $73.06 "," $65.12 "," $58.35 "," $68.8 "," $70.87 "," $71.44 "," $70.67 "," $72.08 "," $79.62 "," $78.07 "," $97.35 "," $85.55 "," $85.42 "," $96.45 "," $97.65 "," $97.13 "," $106.06 "," $114.73 "," $118.69 "
"Shares Out."," 4,133.9 "," 4,145.7 "," 4,294.7 "," 4,462.5 "," 4,485.1 "," 4,492.5 "," 4,510.4 "," 4,515.8 "," 4,523.8 "," 4,527.8 "," 4,530.5 "," 4,594.4 "," 4,597.0 "," 4,597.0 "," 4,596.4 "," 4,594.7 "," 4,594.7 "," 4,591.5 "," 4,589.1 "," 4,587.1 "," 4,587.4 "," 4,587.4 "," 4,587.7 "," 4,531.1 "," 4,506.9 "," 4,506.9 "," 4,479.7 "," 4,471.4 "," 4,505.7 "," 4,446.9 "," 4,449.8 "," 4,450.1 "," 4,448.7 "," 4,453.7 "," 4,454.0 "," 4,464.9 "," 4,464.9 "," 4,466.3 "," 4,470.5 "," 4,471.0 "," 4,467.0 "," 4,457.1 "," 4,451.2 "," 4,448.0 "," 4,448.0 "," 4,422.6 "," 4,411.8 "," 4,385.7 "," 4,378.9 "," 4,327.8 "," 4,327.8 "," 4,269.4 "," 4,242.5 "," 4,234.9 "," 4,234.9 "," 4,182.0 "," 4,162.7 "," 4,163.5 "," 4,163.5 "," 4,167.8 "," 4,169.0 "," 4,168.0 "," 4,124.5 "," 4,108.8 "," 4,068.2 "," 4,004.8 "," 4,004.8 "," 3,943.7 "," 3,934.0 "," 3,922.6 "," 3,915.1 "," 3,896.6 "," 3,856.8 "," 3,810.2 "," 3,759.0 "," 3,709.6 "," 3,636.5 "," 3,562.0 "," 3,562.0 "," 3,472.6 "," 3,446.6 "," 3,424.7 "," 3,424.7 "," 3,400.7 "," 3,361.4 "," 3,345.2 "," 3,345.2 "," 3,276.7 "," 3,255.5 "," 3,235.8 "," 3,229.2 "," 3,223.6 "," 3,222.5 "," 3,223.2 "," 3,226.1 "," 3,220.5 "," 3,205.9 "," 3,201.9 "," 3,201.9 "," 3,116.6 "," 3,116.6 "," 3,073.2 "," 3,033.0 "," 3,014.5 "," 3,014.5 "," 2,962.4 "," 2,950.7 "," 2,950.8 "," 2,928.7 "," 2,905.3 "," 2,905.3 "," 2,854.7 "," 2,844.3 "," 2,837.2 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Market Capitalization"," 1,178.8 "," 1,489.8 "," 3,850.1 "," 4,392.8 "," 6,202.1 "," 11,055.8 "," 16,773.1 "," 16,017.0 "," 18,589.9 "," 26,671.7 "," 43,888.8 "," 61,162.6 "," 71,540.3 "," 58,325.0 "," 54,870.1 "," 57,433.6 "," 57,720.8 "," 55,672.1 "," 52,487.7 "," 59,632.2 "," 61,070.3 "," 54,762.5 "," 63,654.5 "," 71,081.2 "," 87,039.9 "," 90,701.7 "," 115,071.1 "," 126,457.3 "," 137,846.2 "," 166,342.0 "," 199,685.5 "," 203,593.5 "," 212,148.7 "," 295,060.3 "," 240,517.9 "," 253,939.9 "," 224,639.2 "," 233,086.9 "," 220,125.7 "," 229,360.0 "," 216,424.1 "," 243,579.8 "," 266,761.9 "," 250,869.4 "," 241,083.8 "," 234,577.1 "," 243,928.1 "," 235,906.5 "," 248,941.5 "," 228,550.1 "," 248,155.0 "," 241,607.2 "," 225,913.8 "," 224,151.5 "," 212,209.2 "," 198,018.7 "," 187,154.9 "," 199,722.6 "," 200,055.7 "," 199,344.7 "," 186,022.2 "," 192,146.0 "," 195,870.2 "," 203,261.2 "," 171,964.0 "," 190,388.6 "," 210,973.3 "," 234,927.5 "," 235,173.1 "," 218,917.6 "," 206,796.6 "," 199,000.3 "," 197,122.4 "," 207,311.5 "," 210,166.1 "," 186,966.3 "," 186,191.2 "," 194,093.1 "," 186,506.0 "," 186,337.6 "," 181,465.4 "," 198,563.9 "," 209,214.7 "," 222,914.2 "," 251,469.6 "," 241,258.6 "," 250,123.4 "," 250,108.8 "," 236,574.0 "," 258,667.6 "," 245,740.2 "," 248,894.5 "," 249,777.0 "," 277,903.4 "," 260,375.5 "," 235,293.3 "," 208,770.9 "," 186,830.5 "," 220,290.2 "," 220,876.8 "," 222,653.2 "," 217,182.4 "," 218,619.3 "," 240,014.4 "," 235,341.9 "," 288,387.8 "," 252,432.1 "," 252,061.1 "," 282,476.4 "," 283,698.6 "," 282,187.9 "," 302,771.8 "," 326,324.7 "," 336,744.3 "
"- Cash & Short Term Investments"," 18.5 "," 9.2 "," 33.3 "," 156.9 "," 1.9 "," 174.4 "," 165.5 "," 11.3 "," 12.6 "," 12.8 "," 13.0 "," 30.6 "," 12.4 "," 20.1 "," 45.0 "," 14.0 "," 6.0 "," 13.0 "," 83.0 "," 32.0 "," 24.0 "," 76.0 "," 883.0 "," 726.0 "," 930.0 "," 728.0 "," 1,447.0 "," 771.0 "," 884.0 "," 1,009.0 "," 1,879.0 "," 1,967.0 "," 1,508.0 "," 1,435.0 "," 1,856.0 "," 1,360.0 "," 1,310.0 "," 1,311.0 "," 2,054.0 "," 1,477.0 "," 1,834.0 "," 2,033.0 "," 2,161.0 "," 2,418.0 "," 2,288.0 "," 2,095.0 "," 2,758.0 "," 2,468.0 "," 4,472.0 "," 3,312.0 "," 5,199.0 "," 3,828.0 "," 4,709.0 "," 4,639.0 "," 5,488.0 "," 4,955.0 "," 5,673.0 "," 4,535.0 "," 6,414.0 "," 5,858.0 "," 6,386.0 "," 5,908.0 "," 7,373.0 "," 6,563.0 "," 6,094.0 "," 4,950.0 "," 5,569.0 "," 8,072.0 "," 6,907.0 "," 5,920.0 "," 7,275.0 "," 6,578.0 "," 7,997.0 "," 6,003.0 "," 7,907.0 "," 8,516.0 "," 10,195.0 "," 10,616.0 "," 7,395.0 "," 9,400.0 "," 8,102.0 "," 7,063.0 "," 6,552.0 "," 8,127.0 "," 8,015.0 "," 8,698.0 "," 7,810.0 "," 8,866.0 "," 9,032.0 "," 8,747.0 "," 7,281.0 "," 6,012.0 "," 6,184.0 "," 6,718.0 "," 9,135.0 "," 7,759.0 "," 5,751.0 "," 6,990.0 "," 8,705.0 "," 7,597.0 "," 7,676.0 "," 5,939.0 "," 6,867.0 "," 6,545.0 "," 6,469.0 "," 7,026.0 "," 6,756.0 "," 7,885.0 "," 15,840.0 "," 9,174.0 "," 7,722.0 "," 9,255.0 "," 9,283.0 "," 8,606.0 "
"+ Total Debt"," 186.7 "," 331.7 "," 348.2 "," 394.6 "," 507.4 "," 792.1 "," 956.9 "," 1,175.6 "," 1,233.8 "," 1,481.2 "," 2,324.9 "," 3,771.9 "," 6,493.2 "," 9,606.3 "," 11,591.0 "," 12,364.0 "," 12,315.0 "," 13,902.0 "," 13,398.0 "," 12,194.0 "," 12,523.0 "," 11,219.0 "," 10,634.0 "," 9,264.0 "," 10,523.0 "," 11,638.0 "," 10,815.0 "," 10,556.0 "," 10,659.0 "," 11,566.0 "," 10,613.0 "," 9,779.0 "," 21,163.0 "," 23,018.0 "," 22,082.0 "," 20,465.0 "," 22,624.0 "," 22,136.0 "," 22,316.0 "," 20,183.0 "," 19,824.0 "," 22,883.0 "," 21,880.0 "," 22,426.0 "," 23,718.0 "," 26,746.0 "," 25,401.0 "," 25,501.0 "," 25,607.0 "," 27,751.0 "," 26,466.0 "," 29,398.0 "," 31,588.0 "," 33,643.0 "," 31,450.0 "," 32,913.0 "," 36,075.0 "," 37,999.0 "," 38,819.0 "," 38,465.0 "," 40,485.0 "," 41,534.0 "," 39,018.0 "," 42,200.0 "," 43,042.0 "," 47,437.0 "," 44,671.0 "," 48,072.0 "," 44,563.0 "," 47,070.0 "," 42,218.0 "," 43,185.0 "," 45,259.0 "," 47,411.0 "," 41,340.0 "," 46,977.0 "," 49,253.0 "," 56,817.0 "," 49,882.0 "," 55,684.0 "," 57,098.0 "," 59,317.0 "," 53,537.0 "," 54,822.0 "," 55,347.0 "," 57,908.0 "," 54,231.0 "," 57,201.0 "," 57,227.0 "," 61,824.0 "," 56,643.0 "," 55,566.0 "," 54,211.0 "," 55,830.0 "," 50,992.0 "," 50,693.0 "," 49,691.0 "," 53,124.0 "," 50,772.0 "," 50,549.0 "," 48,108.0 "," 50,842.0 "," 46,568.0 "," 47,109.0 "," 47,994.0 "," 50,280.0 "," 46,673.0 "," 46,609.0 "," 54,164.0 "," 61,461.0 "," 58,461.0 "," 75,920.0 "," 75,329.0 "," 76,607.0 "
"+ Pref. Equity","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
