"Transaction ID","Announced Date","Closed Date","Transaction Type","Role","Target","Buyer/Investors","Sellers","Rounds","Round Type","Pre-Money Valuation ($mm)","Post-Money Valuation ($mm)","Size ($mm)","Aggregate Amount Raised ($mm)†"
"IQTR651111290",Jan-15-2020,Jan-15-2020,"Merger/Acquisition","Buyer","XNOR.AI, Inc.","Apple Inc. (NasdaqGS:AAPL)","AutoTech Ventures; NGP Capital; Madrona Venture Group, LLC; Plug and Play, LLC; Catapult Ventures Group","-","-","-","-","-","-"
"IQTR647865299",Dec-12-2019,Dec-12-2019,"Merger/Acquisition","Buyer","Spectral Edge Ltd","Apple Inc. (NasdaqGS:AAPL)","IQ Capital Partners LLP; Martlet; Origin Capital Ltd; Parkwalk Advisors Ltd; Wren Capital LLP","-","-","-","-","-","-"
"IQTR639430236",Oct-04-2019,Oct-04-2019,"Merger/Acquisition","Buyer","IKinema Ltd.","Apple Inc. (NasdaqGS:AAPL)",,"-","-","-","-","-","-"
"IQTR630916104",Jul-25-2019,Dec-02-2019,"Merger/Acquisition","Buyer","Smartphone Modem Business of Intel Corporation","Apple Inc. (NasdaqGS:AAPL)","Intel Corporation (NasdaqGS:INTC)","-","-","-","-","  1,000.0 ","-"
"IQTR625921898",Jun-25-2019,Jun-25-2019,"Merger/Acquisition","Buyer","Drive.ai, Inc.","Apple Inc. (NasdaqGS:AAPL)","HOF Capital; GGV Capital; GPU Ventures; New Enterprise Associates, Inc.; Northern Light Venture Capital","-","-","-","-","-","-"
"IQTR612707663",May-07-2019,Nov-30-2018,"Merger/Acquisition","Buyer","Silk Labs Inc.","Apple Inc. (NasdaqGS:AAPL)",,"-","-","-","-","-","-"
"IQTR602555217",Feb-15-2019,Dec-31-2018,"Merger/Acquisition","Buyer","Operatedata Ltd.","Apple Inc. (NasdaqGS:AAPL)",,"-","-","-","-","-","-"
"IQTR594391282",Dec-07-2018,Dec-07-2018,"Merger/Acquisition","Buyer","Platoon Limited","Apple Inc. (NasdaqGS:AAPL)",,"-","-","-","-","-","-"
"IQTR587466412",Oct-11-2018,Apr-08-2019,"Merger/Acquisition","Buyer","Certain Assets of Dialog Semiconductor Plc","Apple Inc. (NasdaqGS:AAPL)","Dialog Semiconductor Plc (XTRA:DLG)","-","-","-","-","  300.0 ","-"
"IQTR579360358",Aug-30-2018,"-","Merger/Acquisition","Buyer","Akonia Holographics LLC","Apple Inc. (NasdaqGS:AAPL)",,"-","-","-","-","-","-"
"IQTR561415029",May-01-2018,"-","Buyback","Target","Apple Inc. (NasdaqGS:AAPL)",,,"-","-","-","-","  175,000.0 ","-"
