"Transaction ID","Announced Date","Closed Date","Transaction Type","Role","Target","Buyer/Investors","Sellers","Rounds","Round Type","Pre-Money Valuation ($mm)","Post-Money Valuation ($mm)","Size ($mm)","Aggregate Amount Raised ($mm)†"
"IQTR637277124",Sep-16-2019,Nov-20-2019,"Merger/Acquisition","Seller","Inventory Locator Service, LLC","CAMP Systems Inc.","The Boeing Company (NYSE:BA)","-","-","-","-","-","-"
"IQTR621524990",Jun-14-2019,"-","Merger/Acquisition","Buyer","Encore Aerospace LLC","The Boeing Company (NYSE:BA)",,"-","-","-","-","-","-"
"IQTR605517285",Mar-06-2019,Mar-06-2019,"Merger/Acquisition","Buyer","ForeFlight LLC","The Boeing Company (NYSE:BA)","Silver Lake; Sumeru Equity Partners, LP Seller Funds: Silver Lake Sumeru, L.P.","-","-","-","-","-","-"
"IQTR602203134",Feb-05-2019,Feb-05-2019,"Private Placement","Buyer","Aerion Corporation","The Boeing Company (NYSE:BA)",,3,"Growth","-","-","-","  28.08 "
"IQTR595418946",Dec-17-2018,"-","Buyback","Target","The Boeing Company (NYSE:BA)",,,"-","-","-","-","  20,000.0 ","-"
"IQTR592028210",Nov-20-2018,Nov-20-2018,"Private Placement","Buyer","Homes For Our Troops, Inc.","The Boeing Company (NYSE:BA)",,1,"Growth","-","-","  3.0 ","  3.0 "
"IQTR577777532",Aug-16-2018,Sep-25-2018,"Merger/Acquisition","Buyer","Millennium Space Systems, Inc.","The Boeing Company (NYSE:BA)",,"-","-","-","-","-","-"
"IQTR546301614",Dec-11-2017,"-","Buyback","Target","The Boeing Company (NYSE:BA)",,,"-","-","-","-","  9,003.29 ","-"
"IQTR553030972",Dec-05-2017,Feb-15-2018,"Private Placement","Buyer","Singularity Education Group","PeopleFund; SVB Silicon Valley Bank, Investment Arm; TAL Education Group (NYSE:TAL); The Boeing Company (NYSE:BA); Westriver Group",,2,"Series B","  73.9 ","  105.9 ","  32.0 ","  62.65 "
"IQTR539754044",Oct-05-2017,Nov-08-2017,"Merger/Acquisition","Buyer","Aurora Flight Sciences Corporation (nka:Aurora Flight Sciences, A Boeing Company)","The Boeing Company (NYSE:BA)","Enlightenment Capital; GEF Management Corporation","-","-","-","-","-","-"
"IQTR537485536",Sep-13-2017,Nov-07-2017,"Merger/Acquisition","Seller","Four Buildings in Eastgate Area of South Bellevue","Talon Private Capital LLC; Walton Street Capital, L.L.C.","The Boeing Company (NYSE:BA)","-","-","-","-","  35.8 ","-"
"IQTR412786586",Dec-12-2016,"-","Buyback","Target","The Boeing Company (NYSE:BA)",,,"-","-","-","-","  9,239.52 ","-"
"IQTR412492038",Dec-06-2016,Dec-09-2016,"Merger/Acquisition","Buyer","Liquid Robotics, Inc.","The Boeing Company (NYSE:BA)","North Sky Capital, LLC; Riverwood Capital LLC; VantagePoint Capital Partners","-","-","-","-","-","-"
"IQTR403123373",Sep-27-2016,Apr-17-2018,"Merger/Acquisition","Seller","Sea Launch AG","CJSC S7 Group","Energia Overseas Limited; The Boeing Company (NYSE:BA)","-","-","-","-","  150.0 ","-"
"IQTR319432470",Dec-14-2015,"-","Buyback","Target","The Boeing Company (NYSE:BA)",,,"-","-","-","-","  7,000.69 ","-"
"IQTR313532569",Oct-12-2015,Oct-12-2015,"Merger/Acquisition","Buyer","Peters Software GmbH","The Boeing Company (NYSE:BA)",,"-","-","-","-","-","-"
"IQTR287589589",Mar-09-2015,Mar-09-2015,"Merger/Acquisition","Buyer","SoftBank Satellite Planning Corp.","The Boeing Company (NYSE:BA)","SoftBank Corp. (nka:SoftBank Group Corp. (TSE:9984))","-","-","-","-","-","-"
