"Transaction ID","Announced Date","Closed Date","Transaction Type","Role","Target","Buyer/Investors","Sellers","Rounds","Round Type","Pre-Money Valuation ($mm)","Post-Money Valuation ($mm)","Size ($mm)","Aggregate Amount Raised ($mm)†"
"IQTR655566943",Feb-19-2020,Feb-19-2020,"Private Placement","Buyer","MRM Health NV","Ackermans & Van Haaren NV (ENXTBR:ACKB); DuPont de Nemours, Inc. (NYSE:DD); MRM Technologies N.V.; QBIC Venture Partners; VIB BV Buyer Funds: Qbic II",,1,"Series A","-","-","  15.38 ","  15.38 "
"IQTR648592841",Dec-18-2019,"-","Merger/Acquisition","Buyer","OxyMem Limited","DuPont de Nemours, Inc. (NYSE:DD)","Dow Venture Capital; Saudi Aramco Energy Ventures LLC","-","-","-","-","-","-"
"IQTR648237651",Dec-15-2019,"-","Merger/Acquisition","Seller","Nutrition & Biosciences business of DuPont de Nemours, Inc.","International Flavors & Fragrances Inc. (NYSE:IFF)","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","  26,200.0 ","-"
"IQTR647707213",Dec-11-2019,Jan-09-2020,"Merger/Acquisition","Buyer","Desalitech, Inc.","DuPont de Nemours, Inc. (NYSE:DD)","Aquagro Fund; Liberation Capital; Spring Creek Investments","-","-","-","-","-","-"
"IQTR639278235",Oct-03-2019,Jan-02-2020,"Merger/Acquisition","Buyer","Evoqua Water Technologies Membrane Systems Pty Ltd and MEMCOR® Product line","DuPont de Nemours, Inc. (NYSE:DD)","Evoqua Water Technologies (Shanghai) Co., Ltd.; Evoqua Water Technologies Corp. (NYSE:AQUA); Evoqua Water Technologies Limited; Evoqua Water Technologies LLC; Evoqua Water Technologies Ltd; Evoqua Water Technologies Pte. Ltd.","-","-","-","-","  110.0 ","-"
"IQTR636483003",Sep-10-2019,"-","Merger/Acquisition","Seller","Semiconductor Solutions Business of DuPont de Nemours, Inc","SK Siltron Co., Ltd.","DuPont de Nemours, Inc. (NYSE:DD)","-","-","-","-","  450.0 ","-"
"IQTR618084763",Jun-03-2019,"-","Buyback","Target","DuPont de Nemours, Inc. (NYSE:DD)",,,"-","-","-","-","  2,000.0 ","-"
"IQTR596995860",Jan-03-2019,Jan-03-2019,"Merger/Acquisition","Seller","Quizalofop product line of DowDuPont Inc.","American Vanguard Corporation (NYSE:AVD)","DowDuPont Inc. (nka:DuPont de Nemours, Inc. (NYSE:DD))","-","-","-","-","-","-"
"IQTR591025355",Nov-12-2018,Nov-12-2018,"Private Placement","Buyer","Flyability SA","DowDuPont Inc. (nka:DuPont de Nemours, Inc. (NYSE:DD)); Environmental Technologies Fund LP; Go Beyond Ltd., Endowment Arm; MKS Alternative Investments; Swisscom Ventures",,4,"Series B","-","-","  11.0 ","  15.3 "
"IQTR589865174",Nov-01-2018,Feb-28-2019,"Buyback","Target","DowDuPont Inc. (nka:DuPont de Nemours, Inc. (NYSE:DD))",,,"-","-","-","-","  3,000.0 ","-"
"IQTR575009459",Jul-23-2018,Dec-01-2018,"Merger/Acquisition","Seller","European Extruded Polystyrene Insulation (XPS) Business of DowDuPont Inc.","Ravago S.A.","DowDuPont Inc. (nka:DuPont de Nemours, Inc. (NYSE:DD))","-","-","-","-","-","-"
"IQTR562453352",May-01-2018,Apr-30-2018,"Merger/Acquisition","Buyer","Half of the Working Interest in 116 Locations Within Barnett Shale Position of Devon Energy","DowDuPont Inc. (nka:DuPont de Nemours, Inc. (NYSE:DD))","Devon Energy Corporation (NYSE:DVN)","-","-","-","-","  75.0 ","-"
"IQTR542473544",Nov-02-2017,Sep-30-2018,"Buyback","Target","DowDuPont Inc. (nka:DuPont de Nemours, Inc. (NYSE:DD))",,,"-","-","-","-","  4,000.0 ","-"
"IQTR546905224",Oct-11-2017,Dec-18-2017,"Merger/Acquisition","Seller","Polyvinylidene Chloride Business of DowDuPont Inc.","SK Global Chemical Co., Ltd.","DowDuPont Inc. (nka:DuPont de Nemours, Inc. (NYSE:DD))","-","-","-","-","  75.0 ","-"
"IQTR418824441",Feb-02-2017,Sep-01-2017,"Merger/Acquisition","Seller","The Dow Chemical Company, Ethylene Acrylic Acid Business Unit","SK Global Chemical Co., Ltd.","The Dow Chemical Company (nka:DuPont de Nemours, Inc. (NYSE:DD))","-","-","-","-","  370.0 ","-"
"IQTR414117046",Dec-07-2016,Dec-06-2017,"Private Placement","Buyer","XG Sciences, Inc.","The Dow Chemical Company (nka:DuPont de Nemours, Inc. (NYSE:DD))",,5,"Debt","-","-","  5.0 ","  13.0 "
"IQTR417501901",Nov-14-2016,Nov-30-2016,"Merger/Acquisition","Seller","The Dow Chemical Company, Hazardous Waste Treatment Facility in Schkopau, Germany","Suez SA (ENXTPA:SEV)","The Dow Chemical Company (nka:DuPont de Nemours, Inc. (NYSE:DD))","-","-","-","-","-","-"
"IQTR329771498",Mar-31-2016,Jun-01-2016,"Merger/Acquisition","Seller","The Dow Chemical Company, Global Specialty Films Business","Transilwrap Company, Inc. (nka:Transcendia Inc.)","The Dow Chemical Company (nka:DuPont de Nemours, Inc. (NYSE:DD))","-","-","-","-","-","-"
"IQTR319129967",Dec-11-2015,Aug-31-2017,"Merger/Acquisition","Buyer","E. I. du Pont de Nemours and Company","The Dow Chemical Company (nka:DuPont de Nemours, Inc. (NYSE:DD))","Trian Fund Management, L.P.","-","-","-","-","  72,632.89 ","-"
"IQTR319131279",Dec-11-2015,Apr-01-2019,"Spin-Off/Split-Off","Seller","Dow Inc. (NYSE:DOW)",,"The Dow Chemical Company (nka:DuPont de Nemours, Inc. (NYSE:DD))","-","-","-","-","  21,074.74 ","-"
