"Transaction ID","Announced Date","Closed Date","Transaction Type","Role","Target","Buyer/Investors","Sellers","Rounds","Round Type","Pre-Money Valuation ($mm)","Post-Money Valuation ($mm)","Size ($mm)","Aggregate Amount Raised ($mm)†"
"IQTR650519956",Jan-09-2020,Jan-09-2020,"Merger/Acquisition","Buyer","Sierra Chata Block in Vaca Muerta, Argentina.","Exxon Mobil Corporation (NYSE:XOM)","Total Austral S.A.","-","-","-","-","-","-"
"IQTR649527593",Dec-30-2019,Dec-30-2019,"Merger/Acquisition","Buyer","Two Offshore Blocks in Herodotus Basin and Nile Delta","Exxon Mobil Corporation (NYSE:XOM)",,"-","-","-","-","-","-"
"IQTR638507193",Sep-26-2019,Dec-10-2019,"Merger/Acquisition","Seller","Upstream Portfolio in Norway of Exxon Mobil Corporation","Vår Energi AS","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","  4,500.0 ","-"
"IQTR638016590",Sep-19-2019,Sep-19-2019,"Merger/Acquisition","Seller","Hershey On Green Canyon Blocks","Talos Energy Inc. (NYSE:TALO)","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR626130573",Jun-27-2019,Aug-30-2019,"Merger/Acquisition","Seller","Oil and Gas Producing Properties in the Eastern Region of Gulf of Mexico","W&T Offshore, Inc. (NYSE:WTI)","Exxon Mobil Corporation (NYSE:XOM); Exxon Mobile Bay Limited Partnership; ExxonMobil U.S. Properties Inc.; Mobil Oil Exploration & Producing Southeast Inc.; XH, LLC","-","-","-","-","  167.6 ","-"
"IQTR623255901",Jun-21-2019,"-","Buyback","Seller","Imperial Oil Limited (TSX:IMO)",,"Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR611533680",Apr-24-2019,"-","Merger/Acquisition","Buyer","Exploration acreage for blocks 1710 and 1810 in Namibia","Exxon Mobil Corporation (NYSE:XOM)","National Petroleum Corporation of Namibia","-","-","-","-","-","-"
"IQTR606374220",Mar-13-2019,Jan-23-2019,"Merger/Acquisition","Seller","Antrim Project in Green Canyon Block 364 of Exxon Mobil Corporation","Talos Energy Inc. (NYSE:TALO)","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR569529864",Jun-03-2018,Dec-31-2018,"Merger/Acquisition","Seller","ExxonMobil Exploration Argentina S.R.L./ Mobil Argentina S.A.","Qatar Petroleum","Exxon Mobil Corporation (NYSE:XOM)","-","-","-","-","-","-"
"IQTR560897315",Apr-29-2018,Jun-28-2018,"Merger/Acquisition","Buyer","PT. Federal Karyatama","Exxon Mobil Corporation (NYSE:XOM)","PT Mitra Pinasthika Mustika Tbk (IDX:MPMX)","-","-","-","-","  436.0 ","-"
