"Transaction ID","Announced Date","Closed Date","Transaction Type","Role","Target","Buyer/Investors","Sellers","Rounds","Round Type","Pre-Money Valuation ($mm)","Post-Money Valuation ($mm)","Size ($mm)","Aggregate Amount Raised ($mm)†"
"IQTR647769799",Dec-11-2019,"-","Private Placement","Buyer","63Ideas Infolabs Private Limited","Flipkart Online Services Pvt. Ltd.; Walmart Inc. (NYSE:WMT)",,9,"Venture","-","-","-","  144.07 "
"IQTR640584195",Oct-15-2019,Oct-15-2019,"Private Placement","Buyer","Level Home Inc.","Hut 8 Ventures Management LLC; Lennar Corporation (NYSE:LEN); Walmart Inc. (NYSE:WMT)",,1,"Venture","-","-","  71.0 ","  71.0 "
"IQTR604283954",Feb-26-2019,Feb-25-2019,"Merger/Acquisition","Buyer","Aspectiva Ltd.","Walmart Inc. (NYSE:WMT)",,"-","-","-","-","-","-"
"IQTR594098199",Dec-06-2018,Dec-31-2018,"Merger/Acquisition","Buyer","Art.com Inc.","Walmart Inc. (NYSE:WMT)","Polaris Partners; Saints Capital Services, LLC","-","-","-","-","-","-"
"IQTR586665934",Oct-12-2018,Oct-12-2018,"Merger/Acquisition","Buyer","BareWeb, Inc.","Walmart Inc. (NYSE:WMT)",,"-","-","-","-","-","-"
"IQTR584974096",Oct-02-2018,Dec-31-2018,"Merger/Acquisition","Buyer","ELOQUII Design, Inc.","Walmart Inc. (NYSE:WMT)","FJ Labs; Greycroft Partners LLC","-","-","-","-","-","-"
"IQTR579436216",Aug-30-2018,Aug-30-2018,"Merger/Acquisition","Seller","12 Walmart stores in Argentina","Distribuidora Internacional de Alimentación, S.A. (BME:DIA)","Walmart Inc. (NYSE:WMT)","-","-","-","-","-","-"
"IQTR576836650",Aug-09-2018,Aug-09-2018,"Private Placement","Buyer","Daojia Meishihui","JD.com, Inc. (NasdaqGS:JD); Walmart Inc. (NYSE:WMT)",,6,"Growth","-","-","  500.0 ","  554.0 "
"IQTR569756508",Jun-04-2018,Aug-01-2018,"Merger/Acquisition","Seller","WMS Supermercados do Brasil Ltda.","Advent International Corporation","Walmart Inc. (NYSE:WMT)","-","-","-","-","  250.0 ","-"
"IQTR563483103",May-09-2018,Aug-18-2018,"Merger/Acquisition","Buyer","Flipkart Private Limited","Walmart Inc. (NYSE:WMT)","Accel Partners; C.Y.C., S.A.; DST Global; eBay Inc. (NasdaqGS:EBAY); Fidelity Investments; Fidelity Rutland Square Trust II - Strategic Advisers Growth Fund (MutualFund:FSGF.X); Helion Venture Partners, LLC; Inversiones Mobiliarias Y Desarrollo S.A.; Morgan Stanley Institutional Fund Trust - Mid Cap Growth Portfolio (nka:Morgan Stanley Institutional Fund Trust - Discovery Portfolio (MutualFund:MACG.X)); Morgan Stanley Institutional Fund, Inc. - Global Discovery Portfolio; Morgan Stanley Institutional Fund, Inc. - International Opportunity Portfolio (MutualFund:MIOL.X); Morgan Stanley Institutional Fund, Inc. - Small Company Growth Portfolio (nka:Morgan Stanley Institutional Fund, Inc. - Inception Portfolio (MutualFund:MSSM.X)); Morgan Stanley Investment Management Inc.; Naspers Limited (JSE:NPN); Qatar Investment Authority; Sofina Société Anonyme (ENXTBR:SOF); SoftBank Investment Advisers (UK) Limited; Steadview Capital Management LLC; Strategic Advisers, Inc; The Vanguard Group, Inc. Seller Funds: SoftBank Vision Fund L.P.","-","-","-","-","  16,000.0 ","-"
