"Supplier Name","Exchange:Ticker Symbol","Customer Name","Entity","Relationship Type","Primary Industry","Source","Business Description"
"Acadia Realty Trust (NYSE:AKR)","NYSE:AKR","Walmart Inc. (NYSE:WMT)","Self
                         ","Landlord","Retail REITs","Acadia Realty Trust (NYSE:AKR) 2019 Form 10-K","Acadia Realty Trust is an equity real estate investment trust focused on delivering long-term, profitable growth via its dual - Core and Fund - operating platforms and its disciplined, location-driven investment strategy. Acadia Realty Trust is accomplishing this goal by building a best-in-class core real estate portfolio with meaningful concentrations of assets in the nation’s most dynamic urban and street-retail corridors; making profitable opportunistic and value-add investments through its series of discretionary, institutional funds; and maintaining a strong balance sheet."
"Accelerate Property Fund Limited (JSE:APF)","JSE:APF","Dionwired","Subsidiary/Investment
                         ","Landlord","Retail REITs","Accelerate Property Fund Limited (JSE:APF) - Form Doc","Accelerate is a listed Real Estate Investment Trust (REIT) offering investors the opportunity to share in a portfolio of 61 well-established high-quality properties across South Africa. Accelerate was built on strong foundations. We did this by striving for the best asset and property management structures and operational frameworks to support these structures, and, above all, the right people for the job."
"Accelerate Property Fund Limited (JSE:APF)","JSE:APF","Massbuild (pty) Ltd.","Subsidiary/Investment
                         ","Landlord","Retail REITs","Accelerate Property Fund Limited (JSE:APF) - Form Doc","Accelerate is a listed Real Estate Investment Trust (REIT) offering investors the opportunity to share in a portfolio of 61 well-established high-quality properties across South Africa. Accelerate was built on strong foundations. We did this by striving for the best asset and property management structures and operational frameworks to support these structures, and, above all, the right people for the job."
"Accelerate Property Fund Limited (JSE:APF)","JSE:APF","Massmart Holdings Limited (JSE:MSM)","Subsidiary/Investment
                         ","Landlord","Retail REITs","Accelerate Property Fund Limited (JSE:APF) 2018 Form Doc","Accelerate is a listed Real Estate Investment Trust (REIT) offering investors the opportunity to share in a portfolio of 61 well-established high-quality properties across South Africa. Accelerate was built on strong foundations. We did this by striving for the best asset and property management structures and operational frameworks to support these structures, and, above all, the right people for the job."
"Accrol Group Holdings plc (AIM:ACRL)","AIM:ACRL","Asda Stores Limited","Subsidiary/Investment
                         ","Supplier","Household Products","Accrol Group Holdings plc (AIM:ACRL) - Form Doc","Accrol Group Holdings plc engages in soft tissue paper converting business in the United Kingdom and Europe. It manufactures toilet papers, kitchen towels, and facial tissues. The company was founded in 1993 and is based in Blackburn, the United Kingdom."
"Activision Blizzard, Inc. (NasdaqGS:ATVI)","NasdaqGS:ATVI","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Interactive Home Entertainment","Activision Blizzard, Inc. (NasdaqGS:ATVI) 2019 Form 10-K","Activision Blizzard, Inc. develops and distributes content and services on video game consoles, personal computers (PC), and mobile devices. The company operates through three segments: Activision Publishing, Inc.; Blizzard Entertainment, Inc.; and King Digital Entertainment. It develops, publishes, and sells interactive software products and entertainment content for the console and PC platforms through retail and digital channels, including subscription, full-game, and in-game sales, as well as by licensing software to third-party or related-party companies; and offers downloadable content. The company also maintains a proprietary online gaming service, Battle.net that facilitates the creation of user generated content, digital distribution, and online social connectivity in its games; and develops and publishes interactive entertainment content and services primarily on mobile platforms, such as Android and iOS, as well as distributes its content and services on the PC platform primarily through Facebook. In addition, it engages in creating original film and television content; and provides warehousing, logistics, and sales distribution services to third-party publishers of interactive entertainment software, as well as manufacturers of interactive entertainment hardware products. The company’s products include various genres, including first-person shooter, action/adventure, role-playing, strategy, and others. It serves retailers and distributors, including mass-market retailers, first party digital storefronts, consumer electronics stores, discount warehouses, and game specialty stores through third-party distribution and licensing arrangements in the United States, Australia, Brazil, Canada, China, France, Germany, Ireland, Italy, Japan, Malta, Mexico, the Netherlands, Romania, Singapore, South Korea, Spain, Sweden, Taiwan, and the United Kingdom. The company was incorporated in 1979 and is headquartered in Santa Monica, California."
"ADATA Technology Co., Ltd. (GTSM:3260)","GTSM:3260","Flipkart Internet Private Limited","Subsidiary/Investment
                         ","Supplier","Semiconductors","ADATA Technology Co., Ltd. (GTSM:3260) - Form ","ADATA Technology Co., Ltd. designs, manufactures, and sells memory solutions and flash application products worldwide. It offers memory solutions, including DRAM modules, USB flash drives, memory cards and readers, solid state drives, and portable hard drives; external storage products; and power banks, wireless and car chargers, and cables and accessories. The company also provides card/embedded products consisting of CFast, industrial CF and SD, and embedded products for use in automation, point of sale, digital signage, network video recorder, transportation, kiosk, data centers, in-car systems, multifunction printers, casino gaming machines, and aerospace applications. ADATA Technology Co., Ltd. was founded in 2001 and is based in New Taipei City, Taiwan."
"ADATA Technology Co., Ltd. (GTSM:3260)","GTSM:3260","Sam's West, Inc.","Subsidiary/Investment
                         ","Supplier","Semiconductors","ADATA Technology Co., Ltd. (GTSM:3260) - Form ","ADATA Technology Co., Ltd. designs, manufactures, and sells memory solutions and flash application products worldwide. It offers memory solutions, including DRAM modules, USB flash drives, memory cards and readers, solid state drives, and portable hard drives; external storage products; and power banks, wireless and car chargers, and cables and accessories. The company also provides card/embedded products consisting of CFast, industrial CF and SD, and embedded products for use in automation, point of sale, digital signage, network video recorder, transportation, kiosk, data centers, in-car systems, multifunction printers, casino gaming machines, and aerospace applications. ADATA Technology Co., Ltd. was founded in 2001 and is based in New Taipei City, Taiwan."
"ADATA Technology Co., Ltd. (GTSM:3260)","GTSM:3260","Wal-Mart de México, S.A.B. de C.V. (BMV:WALMEX *)","Subsidiary/Investment
                         ","Supplier","Semiconductors","ADATA Technology Co., Ltd. (GTSM:3260) - Form ","ADATA Technology Co., Ltd. designs, manufactures, and sells memory solutions and flash application products worldwide. It offers memory solutions, including DRAM modules, USB flash drives, memory cards and readers, solid state drives, and portable hard drives; external storage products; and power banks, wireless and car chargers, and cables and accessories. The company also provides card/embedded products consisting of CFast, industrial CF and SD, and embedded products for use in automation, point of sale, digital signage, network video recorder, transportation, kiosk, data centers, in-car systems, multifunction printers, casino gaming machines, and aerospace applications. ADATA Technology Co., Ltd. was founded in 2001 and is based in New Taipei City, Taiwan."
"ADATA Technology Co., Ltd. (GTSM:3260)","GTSM:3260","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Semiconductors","ADATA Technology Co., Ltd. (GTSM:3260) - Form ","ADATA Technology Co., Ltd. designs, manufactures, and sells memory solutions and flash application products worldwide. It offers memory solutions, including DRAM modules, USB flash drives, memory cards and readers, solid state drives, and portable hard drives; external storage products; and power banks, wireless and car chargers, and cables and accessories. The company also provides card/embedded products consisting of CFast, industrial CF and SD, and embedded products for use in automation, point of sale, digital signage, network video recorder, transportation, kiosk, data centers, in-car systems, multifunction printers, casino gaming machines, and aerospace applications. ADATA Technology Co., Ltd. was founded in 2001 and is based in New Taipei City, Taiwan."
"ADF Foods Limited (BSE:519183)","BSE:519183","Flipkart Online Services Pvt. Ltd.","Subsidiary/Investment
                         ","Supplier","Packaged Foods and Meats","ADF Foods Limited (BSE:519183) - Form Doc","ADF Foods Limited manufactures and sells various food products. It offers a range of products, including ready-to-eat curries; meal accompaniments, such as pickles, sauces, chutneys; and canned vegetables, frozen snacks, frozen parathas, frozen continental, and Mexican foods, etc. The company offers its products under the Ashoka, Truly Indian, Camel, Aeroplane, Soul, Nate’s, and PJ’s Organic brands through distribution networks in India, rest of Asia, Europe, the United States, the Middle East, Australia, and Canada. ADF Foods Limited was founded in 1932 and is based in Mumbai, India."
"Advance Auto Parts, Inc. (NYSE:AAP)","NYSE:AAP","Walmart Inc. (NYSE:WMT)","Self
                         ","Supplier","Automotive Retail","Advance Auto Parts, Inc. (NYSE:AAP) 2019 Form 10-K","Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning checking; electrical system testing; video clinic; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its Website. It serves professional installers and do-it-yourself customers. Advance Auto Parts, Inc. operates its stores under the Advance Auto Parts, Autopart International, Carquest, and Worldpac brand names. As of December 28, 2019, the company operated 4,877 stores and 160 branches in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and served 1,253 independently owned Carquest branded stores in Mexico, the Bahamas, Turks and Caicos, and the British Virgin Islands. Advance Auto Parts, Inc. was founded in 1929 and is based in Raleigh, North Carolina."
