"Id","Name","Country","City","No of employees","Total Assets (m USD)","Op. Rev. (m USD)","Shareholders funds (m USD)","P/L before tax (m USD)"
,"APPLE INC.","US","CUPERTINO","137,000","338,516","260,174","90,488","65,737"
"USC272594567L","A APPLE INC","US","CARSON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC*110292073343","AABEN PROPERTIES LLC","US","WILMINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC*110292073295","AKANE LLC","US","WILMINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC229356728L","AKIBAN TECHNOLOGIES INC","US","BOSTON","1","n.a.","0","n.a.","n.a."
"USC278820347L","AKONIA HOLOGAPHICS","US","LONGMONT","n.a.","n.a.","n.a.","n.a.","n.a."
"GBC01591116","APPLE (UK) LIMITED","GB","LONDON","473","295","315","230","139"
"USC139739981L","APPLE 135 INC","US","LOS ANGELES","n.a.","n.a.","n.a.","n.a.","n.a."
"SEC5562377647","APPLE AKTIEBOLAG","SE","STOCKHOLM","274","316","168","242","98"
"HKC0001415481","APPLE ASIA LIMITED","HK","CAUSEWAY BAY","64","n.a.","n.a.","n.a.","n.a."
"USC*110292073296","APPLE ASIA LLC","US","WILMINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"NLC30063224","APPLE BENELUX B.V.","NL","AMSTERDAM","151","93","118","-2","65"
"CAC149093809L","APPLE CANADA INC","CA","MARKHAM","n.a.","n.a.","n.a.","n.a.","n.a."
"USC143051893L","APPLE COMPUTER CENTER","US","VERO BEACH","n.a.","n.a.","n.a.","n.a.","n.a."
"USC131958433L","APPLE COMPUTER GATEWAY","US","SALT LAKE CITY","n.a.","n.a.","n.a.","n.a.","n.a."
"USC129063719L","APPLE COMPUTER INC","US","AUSTIN","n.a.","n.a.","n.a.","n.a.","n.a."
"USCFFH0003712","APPLE COMPUTER INC","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC129686934L","APPLE COMPUTER SOUTHLAKE TOWN","US","SOUTHLAKE","n.a.","n.a.","n.a.","n.a.","n.a."
"CAC199272147L","APPLE COMPUTER- SQUARE ONE","CA","MISSISSAUGA","n.a.","n.a.","n.a.","n.a.","n.a."
"USC185146218L","APPLE COMPUTER STORE R117","US","PARAMUS","n.a.","n.a.","n.a.","n.a.","n.a."
"USC164130903L","APPLE COMPUTER STORES","US","LOS GATOS","n.a.","n.a.","n.a.","n.a.","n.a."
"USC132282960L","APPLE COMPUTER STPRE","US","ARLINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"CNC9364513877","APPLE COMPUTER TRADING (SHANGHAI) CO., LTD.","CN","SHANGHAI","1,000","6,623","31,563","3,153","1,185"
"USC133039617L","APPLE COMPUTER TYSON CORNER","US","MC LEAN","n.a.","n.a.","n.a.","n.a.","n.a."
"USC264758918L","APPLE CONT","US","CAPE CORAL","n.a.","n.a.","n.a.","n.a.","n.a."
