"Id","Name","Country","City","No of employees","Total Assets (m USD)","Op. Rev. (m USD)","Shareholders funds (m USD)","P/L before tax (m USD)"
,"BOEING COMPANY (THE)","US","CHICAGO","161,100","133,625","84,818","-8,617","-2,259"
"USC205704858L","2D3 INC","US","IRVINE","n.a.","n.a.","n.a.","n.a.","n.a."
"GBC03882398","2D3 LIMITED","GB","LONDON","n.a.","0","n.a.","0","0"
"USC2-61400","757UA INC","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC123164408L","AAA AIRCRAFT SUPPLY CO","US","ENFIELD","n.a.","n.a.","n.a.","n.a.","n.a."
"USC278535557L","AAA AIRCRAFT SUPPLY CO","US","BRANFORD","n.a.","n.a.","n.a.","n.a.","n.a."
"USC123164409L","AAA AIRCRAFT SUPPLY LLC","US","ENFIELD","n.a.","n.a.","n.a.","n.a.","n.a."
"AUC*861107823","ACN 106 604 870 PTY LTD","AU",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC*110015654760","ADVANCED ENGINEERED PRODUCTS LLC","US","DELAWARE","n.a.","n.a.","n.a.","n.a.","n.a."
"NLC34277357","AERDATA B.V.","NL","AMSTERDAM","15","6","n.a.","4","n.a."
"NLC57225354","AERDATA GROUP B.V.","NL","AMSTERDAM","161","23","n.a.","15","-3"
"IEC506267","AERDATA HOLDINGS IRELAND 1 LIMITED","IE","DUBLIN","7","1","1","0","0"
"GBC04354279","AERDATA UK LIMITED","GB","CRAWLEY","56","7","11","5","2"
"CAC149145684L","AEROINFO SYSTEMS INC","CA","RICHMOND","n.a.","n.a.","n.a.","n.a.","n.a."
"USC180844479L","AKASH INC","US","SAINT ALBANS","4","n.a.","0","n.a.","n.a."
"USC123573022L","ALTEON TRAINING","US","LONG BEACH","n.a.","n.a.","n.a.","n.a.","n.a."
"USC131101852L","ALTEON TRAINING LLC","US","VIRGINIA GARDENS","n.a.","n.a.","n.a.","n.a.","n.a."
"MXC2-61481","ALTEON TRAINING MEXICO SA DE CV","MX",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61421","ALTEON TRAINING SERVICES INC","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC134455087L","ARGON ST INC","US","NEWINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC381873250","ARGON ST, INC.","US","FAIRFAX","1,063","380","366","320","36"
"BMC1518R","ASTRO LIMITED","BM","HAMILTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61423","ATARA HOLDING COMPANY","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC132084068L","AURORA FLIGHT SCIENCES CORP","US","MANASSAS","375","n.a.","350","n.a.","n.a."
"CAC2-61492","AVIALL (CANADA) LTD","CA",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC129399854L","AVIALL AIRLINE SERVICES","US","DALLAS","n.a.","n.a.","n.a.","n.a.","n.a."
"AUC004471078","AVIALL AUSTRALIA HOLDINGS PTY LTD","AU","SYDNEY","15","n.a.","n.a.","n.a.","n.a."
"AUC006224764","AVIALL AUSTRALIA PTY LIMITED","AU","SYDNEY","35","n.a.","22","n.a.","n.a."
"USC133246811L","AVIALL BATTERY SHOP","US","DALLAS","n.a.","n.a.","n.a.","n.a.","n.a."
"USC129484922L","AVIALL CENTRAL WAREHOUSE","US","DALLAS","n.a.","n.a.","n.a.","n.a.","n.a."
"MXCADU700307H23","AVIALL DE MEXICO SA DE CV","MX","VENUSTIANO CARRANZA","n.a.","n.a.","n.a.","n.a.","n.a."
"BBC6738C","AVIALL FOREIGN SALES CORPORATION","BB",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC650433083","AVIALL INC","US","DALLAS","1,009","963","1,295","428","85"
"USC129399835L","AVIALL INC","US","DALLAS","n.a.","n.a.","n.a.","n.a.","n.a."
"USC208050165L","AVIALL INC A WHOLLY OWNED SUB OF THE BOEING CO","US","CHICAGO","n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61424","AVIALL JAPAN LTD","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"SGC198703207W","AVIALL PTE LTD","SG","SINGAPORE","n.a.","43","62","34","3"
"USC207391464L","AVIALL SERVICES IN","US","SAINT PAUL","n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61425","AVIALL SERVICES INC","US","DELAWARE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61426","AVIALL UK INC","US","DELAWARE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC170280099L","AVIALL WHEEL & BRAKE","US","ATLANTA","n.a.","n.a.","n.a.","n.a.","n.a."
"USC131089465L","AVIALL WHEEL & BRAKE SERVICE","US","FORT LAUDERDALE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC281806103L","AVIATION LOGISTICS CORP.","US","SAN CLEMENTE","n.a.","n.a.","n.a.","n.a.","n.a."
"USCFR1999446","BC CAPITAL PARTNERS, L.P.","US","WILMINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"CWC2-61487","BCC ARUBA LEASING AVV","CW",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61429","BCC BOLONGO COMPANY","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61521","BCC BOLONGO LTD","US","VIRGIN ISLANDS, U.S","n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61431","BCC CARBITA POINT COMPANY","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61531","BCC CARBITA POINT LTD","US","VIRGIN ISLANDS, U.S","n.a.","n.a.","n.a.","n.a.","n.a."
"USC2-61432","BCC CASCADES CORPORATION","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
