"Id","Name","Country","City","No of employees","Total Assets (m USD)","Op. Rev. (m USD)","Shareholders funds (m USD)","P/L before tax (m USD)"
,"DUPONT DE NEMOURS, INC.","US","WILMINGTON","98,000","187,855","85,977","94,292","5,493"
"USC285948062L","A DUPONT & CO INC","US","HOLLYWOOD","n.a.","n.a.","n.a.","n.a.","n.a."
"KHC*110228894281",,"KH",,"n.a.","n.a.","n.a.","n.a.","n.a."
"LTC*110175547915","AB KEDAINIAI CUKRUS","LT",,"n.a.","n.a.","n.a.","n.a.","n.a."
"LTC*110175547916","AB PANEVEYS","LT",,"n.a.","n.a.","n.a.","n.a.","n.a."
"NLC66778050","AG EMEA HOLDING 3 B.V.","NL","BERGEN OP ZOOM","n.a.","39","n.a.","39","n.a."
"USC*110293674157","AGRIGENETICS, INC.","US","DELAWARE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC*110293674158","ALFOREX SEEDS LLC","US","DELAWARE","n.a.","n.a.","n.a.","n.a.","n.a."
"GBC*110175547846","ALPIN & BARRETT LTD.","GB",,"n.a.","n.a.","n.a.","n.a.","n.a."
"DKC84746711","APS SYNTETIC","DK","BRABRAND","n.a.","3","n.a.","3","0"
"CNCWOR0000124317","BEIJING LUROU BERRY JUICE CO. LTD.","CN",,"n.a.","n.a.","n.a.","n.a.","n.a."
"FIC28368018","BERGÉ AUTO NORDICS OY","FI","ESPOO","53","92","177","23","-3"
"DEC*110175547847","BIOTECHNOLIGISCHES LABORATORIUM GMBH","DE",,"n.a.","n.a.","n.a.","n.a.","n.a."
"DEC*110175547844","BIOTECHNOLOGISCHES LABORATORIUM GMBH & CO","DE",,"n.a.","n.a.","n.a.","n.a.","n.a."
"GBC*110175547914","BROADLAND FOODS PARTNERSHIP","GB",,"n.a.","n.a.","n.a.","n.a.","n.a."
"FRC*110175547848","CALCHAUVET SA","FR",,"n.a.","n.a.","n.a.","n.a.","n.a."
"DKC15296607","COMETRA APS","DK","KØBENHAVN K","n.a.","3","n.a.","3","0"
"BEC0443917233","CONTISTEEL","BE","ZOLDER","10","13","29","6","1"
"FRC*110175547849","CULTOR FRANCE S.A.","FR",,"n.a.","n.a.","n.a.","n.a.","n.a."
"NOC*110175547900","CULTOR NORGE AS","NO",,"n.a.","n.a.","n.a.","n.a.","n.a."
"FIC07492343","CULTOR OY","FI","ESPOO","3,185","1,525","1,683","585","53"
"JPC1010701024411","D D P SU PE SHI YA RU TE I . PU RO DA KU TSU JAPAN K.K.","JP",,"248","n.a.","298","n.a.","n.a."
"USC*110231754635","DACI INVESTMENTS, LLC","US","DELAWARE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC*110293674163","DAIRYLAND SEED CO., INC.","US","WISCONSIN","n.a.","n.a.","n.a.","n.a.","n.a."
"BEC0452470653","DANISCO","BE","HOUTHALEN","2","1","n.a.","0","0"
"CNC9360057285","DANISCO (CHINA) CO., LTD.","CN","SUZHOU","300","120","222","47","2"
"CNC9364605949","DANISCO (CHINA) HOLDING CO., LTD.","CN","SHANGHAI","124","103","25","95","5"
"INC0002234339","DANISCO (INDIA) PRIVATE LIMITED","IN","DELHI","n.a.","33","54","15","1"
"GBC02271469","DANISCO (UK) LIMITED","GB","MARLBOROUGH","65","52","94","22","6"
"CNC9360057283","DANISCO (ZHANGJIAGANG) TEXTURAL INGREDIENTS CO., LTD.","CN","SUZHOU","n.a.","19","29","-4","1"
"ARC30-66143866-1","DANISCO ARGENTINA SA","AR","BUENOS AIRES","175","n.a.","n.a.","n.a.","n.a."
"ATC9070067255","DANISCO AUSTRIA GMBH","AT","LENZING (OÖ)","59","52","48","39","2"
"PLC510229140","DANISCO BIOLACTA SP. Z O.O. W LIKWIDACJI","PL","OLSZTYN","n.a.","10","18","3","2"
"BRC46278016000161","DANISCO BRASIL LTDA","BR","COTIA","151","n.a.","65","n.a.","n.a."
"CAC258476219L","DANISCO CANADA","CA","SCARBOROUGH","n.a.","n.a.","n.a.","n.a.","n.a."
"CAC149108857L","DANISCO CANADA INC","CA","SCARBOROUGH","n.a.","n.a.","n.a.","n.a.","n.a."
"CAC132721797L","DANISCO CANADA INC C","CA","CONCORD","n.a.","n.a.","n.a.","n.a.","n.a."
"GTC*110158205106","DANISCO CENTRO AMERICA S.A.","GT","GUATEMALA CITY","n.a.","n.a.","n.a.","n.a.","n.a."
"CLC966275006","DANISCO CHILE S A","CL","SANTIAGO","150","n.a.","36","n.a.","n.a."
"COC8300164881","DANISCO COLOMBIA LTDA","CO","BOGOTA","n.a.","13","19","8","1"
"ATC9110216456","DANISCO CULTOR AUSTRIA GMBH","AT","WIEN","n.a.","3","n.a.","2","n.a."
