"Id","Name","Country","City","No of employees","Total Assets (m USD)","Op. Rev. (m USD)","Shareholders funds (m USD)","P/L before tax (m USD)"
,"EXXON MOBIL CORP","US","IRVING","71,000","346,196","279,332","191,794","30,953"
"ITC*220612985","66 LAMBRO SUD S.R.L.","IT",,"n.a.","n.a.","n.a.","n.a.","n.a."
"ITC00718780158","A.C.L.A.M. AZIENDA CARBURANTI","IT","PERO","33","66","335","4","2"
"GBC02512288","ADVANCED ELASTOMER SYSTEMS LIMITED","GB","LEATHERHEAD","92","217","159","199","9"
"USC128391865L","ADVANCED ELASTOMER SYSTEMS LP","US","AKRON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC136825735L","ADVANCED ELASTOMERS","US","GONZALEZ","n.a.","n.a.","n.a.","n.a.","n.a."
"BSC108553B","AKG MARKETING COMPANY LIMITED","BS",,"n.a.","n.a.","n.a.","n.a.","n.a."
"AUC*861106573","AMPOLEX (AE) PTY LTD","AU",,"n.a.","n.a.","n.a.","n.a.","n.a."
"SGC199603513M","AMPOLEX (CEPU) PTE LTD","SG","SINGAPORE","n.a.","916","495","716","345"
"PGC1-16225","AMPOLEX (HIGHLANDS) LIMITED","PG","PORT MORESBY, NATIONAL CAPITAL DISTRICT","n.a.","n.a.","n.a.","n.a.","n.a."
"AUC073659211","AMPOLEX (INDONESIA) PTY. LIMITED","AU","DOCKLANDS","3","n.a.","n.a.","n.a.","n.a."
"PGC1-12772","AMPOLEX (PANDORA REEF) LIMITED","PG","PORT MORESBY, NATIONAL CAPITAL DISTRICT","n.a.","n.a.","n.a.","n.a.","n.a."
"PGC1-9385","AMPOLEX (PAPUA NEW GUINEA) LIMITED","PG","PORT MORESBY, NATIONAL CAPITAL DISTRICT","n.a.","n.a.","n.a.","n.a.","n.a."
"USC*861039463","AMPOLEX (PNG HOLDINGS) INC","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USC063892106-FHQ","AMPOLEX (PNG PETROLEUM), INC.","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"AUC010135770","AMPOLEX (PPL) PTY. LIMITED","AU","DOCKLANDS","3","n.a.","n.a.","n.a.","n.a."
"USC*861045980","AMPOLEX (VENEZUELA) INC","US",,"n.a.","n.a.","n.a.","n.a.","n.a."
"USI030323684","ANCON INSURANCE CO. INC.","US","BURLINGTON","n.a.","4,407","315","4,165","238"
"AUC082984987","A-P OLEFINS FINANCE PTY LIMITED","AU","DOCKLANDS","n.a.","n.a.","n.a.","n.a.","n.a."
"AUC078882112","A-P OLEFINS HOLDINGS PTY LIMITED","AU","DOCKLANDS","3","n.a.","n.a.","n.a.","n.a."
"USC129795030L","BARNETT GATHERING LP","US","FORT WORTH","n.a.","n.a.","n.a.","n.a.","n.a."
"USC*110005992133","BARNETT GATHERING, LLC","US","TEXAS","n.a.","n.a.","n.a.","n.a.","n.a."
"USC129765033L","BISSONNET EXXON INC","US","HOUSTON","13","n.a.","24","n.a.","n.a."
"LRC4-0189883","BRILLIANT TRANSPORT","LR","MONROVIA","n.a.","n.a.","n.a.","n.a.","n.a."
"CAC*110176254237","CANADA IMPERIAL OIL LIMITED","CA",,"n.a.","n.a.","n.a.","n.a.","n.a."
"GBC00811825","CANADIAN SUPERIOR OIL (U.K.) LIMITED","GB","LEATHERHEAD","n.a.","8","n.a.","8","0"
"CAC31906NC","CELTIC EXPLORATION LTD","CA","CALGARY","n.a.","1,058","195","673","-37"
"USC183650967L","CENTER EXXON","US","LEXINGTON","n.a.","n.a.","n.a.","n.a.","n.a."
"USC145384854L","CENTER EXXON","US","MOCKSVILLE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC131716300L","CHALMETTE REFINING LLC","US","CHALMETTE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC149154744L","COOK INLET PIPE LINE CO","US","ANCHORAGE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC120071040L","COOK INLET PIPELINE","US","ANCHORAGE","n.a.","n.a.","n.a.","n.a.","n.a."
"USC129104481L","CROSS TIMBERS OPERATING CO","US","TYLER","n.a.","n.a.","n.a.","n.a.","n.a."
