"Id","Name","Country","City","No of employees","Total Assets (m USD)","Op. Rev. (m USD)","Shareholders funds (m USD)","P/L before tax (m USD)"
,"WALTON FAMILY","n.a.",,,,,,
"INC0014900022","30K FINANCE PRIVATE LIMITED","IN","BANGALORE","n.a.","15","0","15","1"
"ZAC199802118907","ABBEVILLE INVESTMENTS (PTY) LTD","ZA","SANDTON","n.a.","n.a.","0","n.a.","n.a."
"USC170020728L","ADCHEMY","US","REDWOOD CITY","n.a.","n.a.","n.a.","n.a.","n.a."
"USC209043708L","ADCHEMY INC","US","FOSTER CITY","n.a.","n.a.","n.a.","n.a.","n.a."
"INC0013292604","ADIQUITY TECHNOLOGIES PRIVATE LIMITED","IN","BANGALORE","n.a.","0","0","0","0"
"CLC968671308","ADMINISTRADORA DE TARJETAS SERVICIOS FINANCIEROS LIMITADA","CL","SANTIAGO","n.a.","n.a.","0","n.a.","n.a."
"MXCACC8608159Y1","ARRENDADORA DE CENTROS COMERCIALES S DE RL DE CV","MX","AZCAPOTZALCO","n.a.","9","14","6","3"
"MXCARO920611K2A","ARRENDADORA ROALSA SRL","MX","AZCAPOTZALCO DISTRITO FEDERAL","3","n.a.","n.a.","n.a.","n.a."
"GBC03873501","ASDA DELIVERY LIMITED","GB","LEEDS","n.a.","0","0","-3","-1"
"GBC00089218","ASDA EMPLOYEE SHARE SCHEMES TRUSTEE LIMITED","GB","LEEDS","4","1","n.a.","0","n.a."
"GBCJE43844","ASDA FINANCE LIMITED","GB","SAINT HELIER","n.a.","n.a.","n.a.","n.a.","n.a."
"GBC04562707","ASDA FINANCIAL SERVICES LIMITED","GB","LEEDS","6","300","33","300","46"
"GBC01396513","ASDA GROUP LIMITED","GB","LEEDS","150,176","22,266","29,094","12,078","1,022"
"GBCGG53766","ASDA GUERNSEY LIMITED","GB",,"n.a.","n.a.","n.a.","n.a.","n.a."
"GBC03918551","ASDA HOLDINGS UK LIMITED","GB","LEEDS","6","12,593","n.a.","12,563","221"
"IEC546007","ASDA HOME SHOPPING CARDS LIMITED","IE","DUBLIN 4","n.a.","1","27","1","0"
"GBC11657700","ASDA PENSION PLAN TRUSTEES LIMITED","GB","LEEDS","n.a.","n.a.","n.a.","n.a.","n.a."
"GBC03379444","ASDA QUEST TRUSTEES LIMITED","GB","LEEDS","n.a.","0","n.a.","0","n.a."
"GBC02686810","ASDA SOUTHBANK LIMITED","GB","LEEDS","3","25","0","25","2"
"GBC02239740","ASDA STORAGE LIMITED","GB","LEEDS","n.a.","11","n.a.","11","n.a."
"GBC00464777","ASDA STORES LIMITED","GB","LEEDS","145,997","14,172","29,063","7,200","615"
"GBC04144792","ASDA SUPERMARKETS LIMITED","GB","LEEDS","4","22","2","4","1"
"ILC60-021-8855","ASPECTIVA LTD","IL","JERUSALEM","11","n.a.","n.a.","n.a.","n.a."
